0000000374,scans,0000000092,DataLength
"header",0000000024,"lines"
"Date",19/08/2022,"Time",13:48:31
"ID","HAL V RC RGA 201 #12461","Version",3
"Scans",5
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,0.900000,1.000000,
"Scan 2","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.400000,1.000000,
"Scan 3","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 4","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,0.140000,1.000000,
"Scan 5","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",0,"( 1 = on, 0 = off )"
"F2",1,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",250,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",0,"V"
"resolution",0,"%"
"Data",5
"Time","ms","Water","Carbon dioxide","Oxygen","Helium","Nitrogen",
00:00:01,      1002,  0.00000e+00,  7.89279e-09,  2.56976e-08,  7.89279e-08,  8.83990e-08,
00:00:01,      1546,  1.22777e-09,  1.57856e-09,  2.82673e-08, -1.57856e-08,  8.06640e-08,
00:00:02,      2090, -4.91110e-10, -1.57856e-09,  2.55691e-08,  3.94642e-09,  9.17140e-08,
00:00:02,      2634,  1.19093e-09,  1.10499e-10,  2.49780e-08,  5.52493e-10,  9.70180e-08,
00:00:09,      9223,  1.27197e-09,  1.85481e-11,  2.66870e-08, -2.17053e-10,  1.06521e-07,
00:00:23,     23372,  1.29377e-09,  6.47214e-13,  2.77406e-08,  2.35206e-11,  1.09505e-07,
00:00:43,     43670,  1.40857e-09,  2.80985e-12,  2.85051e-08,  4.37264e-11,  1.14146e-07,
00:01:03,     63942,  1.39474e-09,  7.15086e-12,  2.90576e-08,  0.00000e+00,  1.12930e-07,
00:01:23,     83971,  1.47149e-09,  8.09500e-10,  3.12869e-09,  8.09664e-09,  1.83429e-08,
00:01:44,    104242,  3.53292e-10,  1.38480e-09,  2.28066e-10,  5.50050e-08,  8.28749e-10,
00:01:59,    119998,  1.43649e-11,  1.14446e-10,  6.16743e-13,  5.22783e-08,  3.20173e-10,
00:02:22,    142474,  3.11854e-12,  3.67806e-12,  1.18208e-12,  5.19054e-08,  9.54710e-12,
00:02:51,    171073,  7.71043e-12, -3.15714e-13,  7.58080e-12,  5.09799e-08,  4.50839e-12,
00:03:19,    199669,  1.76799e-12, -1.70485e-12,  7.45231e-12,  5.05300e-08,  4.24319e-12,
00:03:46,    226166,  6.87554e-13, -9.47136e-14, -4.72836e-12,  5.10253e-08, -2.07739e-12,
00:04:14,    254764,  6.70366e-12,  5.01985e-12,  4.34290e-12,  5.15521e-08, -2.89509e-12,
00:04:41,    281261,  3.73243e-12,  8.22229e-10,  1.98128e-11,  5.33179e-08,  1.12135e-10,
00:05:09,    309857,  1.54699e-12,  4.16545e-10,  1.24633e-11,  5.23966e-08,  6.51940e-11,
00:05:33,    333295, -7.12110e-13,  2.59477e-10,  5.03673e-12,  5.19034e-08,  3.60671e-11,
00:05:58,    358832,  5.23032e-12,  1.91954e-11, -1.54185e-13,  5.17455e-08,  3.71942e-11,
00:06:25,    385329, -6.21254e-12,  1.63066e-11, -9.76510e-13,  5.21895e-08,  3.11388e-11,
00:06:53,    413927,  1.05588e-11,  1.47122e-11, -1.46476e-12,  5.22013e-08,  2.86194e-11,
00:07:22,    442524, -3.97799e-12,  1.34651e-11,  1.74743e-12,  5.24361e-08,  2.96581e-11,
00:07:46,    466921,  3.24132e-12,  1.56120e-11, -4.72836e-12,  5.14634e-08,  2.78017e-11,
00:08:11,    491317, -2.38188e-12,  9.89757e-12,  4.11162e-12,  5.16014e-08,  2.55254e-11,
00:08:37,    517814,  6.43354e-12,  1.00239e-11,  1.00734e-11,  5.18876e-08,  2.33375e-11,
00:09:00,    540109, -5.27943e-12,  5.91957e-12,  3.98313e-12,  5.21145e-08,  2.03098e-11,
00:09:26,    566604,  3.90432e-12,  6.86671e-12,  2.15859e-12,  5.17376e-08,  9.94490e-12,
00:09:55,    595201,  6.35988e-12,  8.47686e-12,  1.87592e-12,  5.18027e-08,  1.88733e-11,
00:10:21,    621698, -3.02032e-12,  7.34029e-12,  6.03894e-12,  5.24085e-08,  2.10833e-11,
00:10:48,    648194,  4.83743e-12,  7.92436e-12,  2.56976e-13,  5.25703e-08,  1.48511e-11,
00:11:14,    674690,  3.92888e-13,  8.68207e-12,  1.77313e-12,  5.25032e-08,  1.67959e-11,
00:11:36,    696985,  7.29299e-12,  6.85093e-12,  2.98092e-12,  5.26275e-08,  1.13151e-11,
00:12:01,    721381,  4.44454e-12,  5.25657e-12, -7.19534e-12,  5.20119e-08,  1.42986e-11,
00:12:25,    745776,  4.91110e-13,  9.75550e-12,  4.03452e-12,  5.26867e-08,  1.38566e-11,
00:12:54,    774373,  7.85777e-13,  2.16264e-12, -2.18429e-12,  5.16192e-08,  1.18234e-11,
00:13:20,    800869, -6.21254e-12,  8.47686e-12,  4.13731e-12,  5.30340e-08,  1.20665e-11,
00:13:45,    825265,  7.21932e-12,  3.75699e-12,  6.27022e-12,  5.30202e-08,  1.64423e-11,
00:14:11,    851762,  5.25488e-12,  6.21950e-12,  1.07158e-11,  5.28386e-08,  9.01670e-12,
00:14:36,    876159,  5.13210e-12,  1.44912e-11, -4.36859e-13,  5.32193e-08,  1.85639e-12,
00:14:58,    898454,  7.83321e-12,  4.18321e-12, -6.16743e-13,  5.29571e-08,  3.53599e-12,
00:15:24,    924950,  1.42421e-12,  1.78378e-12, -1.09728e-11,  5.26492e-08,  2.29839e-12,
00:15:49,    949346,  3.48688e-12, -1.81535e-12,  2.31278e-12,  5.27676e-08,  6.96149e-12,
00:16:15,    975842, -1.69432e-12, -9.31350e-13,  6.29592e-12,  5.24263e-08, -3.18239e-12,
00:16:40,   1000239, -3.85521e-12, -2.65199e-12, -4.47138e-12,  5.27006e-08,  3.86749e-12,
00:17:06,   1026737,  7.26843e-12,  1.10499e-12, -4.90824e-12,  5.34164e-08, -2.85089e-12,
00:17:29,   1049031, -1.66977e-12, -3.06242e-12,  1.05616e-11,  5.31958e-08,  4.35369e-12,
00:17:55,   1075529,  9.69933e-12, -1.27864e-12,  5.16522e-12,  5.32921e-08,  8.26530e-12,
00:18:17,   1097823,  4.49366e-12,  2.19421e-12, -7.19534e-13,  5.38050e-08,  3.80318e-10,
00:18:44,   1124319,  7.73499e-12, -9.78707e-13,  9.48233e-12,  5.36750e-08, -4.35369e-12,
