0000003275,scans,0000000092,DataLength
"header",0000000024,"lines"
"Date",26/04/2023,"Time",12:19:56
"ID","HAL V RC RGA 201 #12461","Version",3
"Scans",5
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,0.900000,1.000000,
"Scan 2","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.400000,1.000000,
"Scan 3","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 4","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,0.140000,1.000000,
"Scan 5","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",250,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",927,"V"
"resolution",0,"%"
"Data",5
"Time","ms","Water","Carbon dioxide","Oxygen","Helium","Nitrogen",
00:00:01,      1003, -1.22777e-08,  4.73571e-10,  1.28487e-08,  1.57856e-06,  1.10499e-08,
00:00:01,      1522, -3.68332e-09,  1.97321e-11, -1.28487e-09,  1.55489e-06, -2.20999e-09,
00:00:06,      6185,  2.45554e-10,  3.68991e-11, -1.15638e-09,  1.56751e-06, -4.41999e-10,
00:00:13,     13340,  9.20822e-11, -6.36157e-12,  3.01947e-10,  1.53752e-06,  1.53594e-09,
00:00:28,     28510,  1.37510e-10,  1.97321e-12,  3.06765e-10,  1.53436e-06,  1.57904e-09,
00:00:48,     48238,  4.98231e-11, -1.01659e-11,  9.59035e-11,  1.55252e-06,  1.56882e-09,
00:01:14,     74115,  2.88281e-11,  4.04114e-12,  1.13557e-10,  1.55410e-06,  1.44644e-09,
00:01:39,     99965,  5.14192e-11,  1.00396e-11,  1.08160e-10,  1.56357e-06,  1.41937e-09,
00:02:03,    123715,  4.15724e-11,  9.47136e-14,  9.67000e-11,  1.57936e-06,  1.44990e-09,
00:02:27,    147463,  1.82692e-11, -3.89906e-12,  7.62698e-11,  1.57856e-06,  1.40942e-09,
00:02:51,    171213,  4.41999e-11, -1.29442e-11,  8.57523e-11,  1.56751e-06,  1.41881e-09,
00:03:14,    194963,  4.43472e-11, -1.17129e-11,  9.16884e-11,  1.55884e-06,  1.40417e-09,
00:03:40,    220840,  2.14369e-11, -1.62592e-12,  8.77058e-11,  1.55804e-06,  1.44340e-09,
00:04:04,    244616,  6.47767e-11,  1.72221e-11,  1.03509e-10,  1.58646e-06,  1.46661e-09,
00:04:30,    270493,  5.15174e-11,  1.31652e-11,  6.33190e-11,  1.53358e-06,  1.53014e-09,
00:04:54,    294269,  4.30212e-11, -5.01985e-12,  9.83186e-11,  1.55804e-06,  1.47324e-09,
00:05:20,    320144,  3.98536e-11,  4.24635e-12,  1.06979e-10,  1.58567e-06,  1.47793e-09,
00:05:41,    341819,  4.31194e-11, -8.00329e-12,  1.05669e-10,  1.51779e-06,  1.51136e-09,
00:06:05,    365595,  3.50407e-11, -2.22578e-12,  9.36674e-11,  1.60461e-06,  1.52710e-09,
00:06:31,    391471,  4.50593e-11, -6.36157e-12,  7.76326e-11,  1.55568e-06,  1.53898e-09,
00:06:57,    417347,  2.41134e-11,  8.20850e-12,  7.05395e-11,  1.56515e-06,  1.50141e-09,
00:07:21,    441121,  3.19467e-11, -8.11379e-12,  1.10885e-10,  1.58251e-06,  1.49423e-09,
00:07:46,    466998,  3.58510e-11,  5.87221e-12,  9.80616e-11,  1.54779e-06,  1.50114e-09,
00:08:10,    490748,  4.67291e-11,  1.97321e-12,  7.92256e-11,  1.57383e-06,  1.50749e-09,
00:08:32,    512396,  2.71829e-11,  6.78779e-12,  8.66523e-11,  1.55173e-06,  1.47931e-09,
00:08:54,    534043,  5.29908e-11,  1.12078e-12,  9.36930e-11,  1.53358e-06,  1.48401e-09,
00:09:15,    555691,  4.55259e-11,  2.33628e-12,  9.08407e-11,  1.61487e-06,  1.47655e-09,
00:09:41,    581541,  3.41567e-11, -1.43807e-11,  8.34395e-11,  1.61724e-06,  1.45445e-09,
00:10:04,    604236,  4.93074e-11,  5.63543e-12,  8.07930e-11,  1.55568e-06,  1.45114e-09,
00:10:28,    628011,  3.58510e-11,  5.44600e-12,  9.15605e-11,  1.57620e-06,  1.52020e-09,
00:10:53,    653886,  4.89391e-11,  1.53594e-11,  7.75802e-11,  1.54779e-06,  1.47738e-09,
00:11:19,    679734,  5.15666e-11,  5.06721e-12,  8.48791e-11,  1.59593e-06,  1.49561e-09,
00:11:45,    705584,  5.20086e-11, -3.78856e-13,  8.21802e-11,  1.62198e-06,  1.51163e-09,
00:12:09,    729359,  4.62871e-11,  3.47285e-13,  8.41593e-11,  1.59830e-06,  1.47821e-09,
00:12:35,    755208,  4.22354e-11,  7.49814e-12,  6.75848e-11,  1.57383e-06,  1.50197e-09,
00:12:58,    778958,  3.03014e-11,  3.50442e-12,  7.97140e-11,  1.56831e-06,  1.51799e-09,
00:13:24,    804807,  4.81288e-11,  1.15077e-11,  8.12814e-11,  1.57304e-06,  1.56771e-09,
00:13:48,    828584,  3.17748e-11, -1.01501e-11,  8.42872e-11,  1.54857e-06,  1.48456e-09,
00:14:11,    851281,  3.28307e-11, -5.01985e-12,  8.47500e-11,  1.55646e-06,  1.44865e-09,
00:14:37,    877156,  1.80728e-11,  6.07743e-12,  9.90640e-11,  1.54779e-06,  1.51771e-09,
00:15:00,    900932,  2.62498e-11, -4.73571e-13,  8.94012e-11,  1.55646e-06,  1.47627e-09,
00:15:24,    924706,  3.28061e-11,  8.65050e-12,  8.67035e-11,  1.58488e-06,  1.49230e-09,
00:15:46,    946379,  6.09222e-11,  2.57306e-12,  7.75035e-11,  1.54463e-06,  1.55943e-09,
00:16:12,    972228,  2.49974e-11, -8.05064e-13,  9.36674e-11,  1.50753e-06,  1.45528e-09,
00:16:38,    998078,  3.18976e-11, -2.49414e-12,  1.00580e-10,  1.55568e-06,  1.54396e-09,
00:17:01,   1021855,  4.97494e-11,  7.89279e-13,  8.89395e-11,  1.54857e-06,  1.56440e-09,
00:17:27,   1047730,  2.91228e-11,  7.73493e-12,  9.10721e-11,  1.54463e-06,  1.53373e-09,
00:17:53,   1073607,  4.43227e-11,  1.10657e-11,  8.17698e-11,  1.55173e-06,  1.42821e-09,
00:18:17,   1097354,  4.24810e-11,  2.99928e-12,  7.70663e-11,  1.56831e-06,  1.53788e-09,
00:18:43,   1123229,  3.11118e-11, -1.53121e-11,  9.05070e-11,  1.55726e-06,  1.41053e-09,
00:19:09,   1149079,  4.64836e-11,  5.95114e-12,  8.27453e-11,  1.51621e-06,  1.52655e-09,
00:19:34,   1174954,  4.23828e-11, -5.38286e-12,  8.71140e-11,  1.58330e-06,  1.48843e-09,
00:20:00,   1200803,  2.14860e-11,  1.05448e-11,  8.77314e-11,  1.54857e-06,  1.47103e-09,
00:20:24,   1224580,  5.80738e-11,  4.38842e-12,  8.79628e-11,  1.55410e-06,  1.55943e-09,
00:20:50,   1250456,  2.85334e-11, -2.79406e-12,  6.83035e-11,  1.55726e-06,  1.46357e-09,
00:21:12,   1272131,  3.32727e-11, -8.66629e-12,  8.05105e-11,  1.54226e-06,  1.50998e-09,
00:21:35,   1295907,  4.48998e-11, -1.73642e-13,  1.00555e-10,  1.60619e-06,  1.41826e-09,
00:21:59,   1319681,  3.19958e-11,  4.73571e-12,  8.72942e-11,  1.59988e-06,  1.53373e-09,
00:22:25,   1345559,  2.63971e-11, -7.89279e-13,  7.20047e-11,  1.57778e-06,  1.54617e-09,
00:22:51,   1371408,  4.71466e-11, -1.73958e-11,  1.06130e-10,  1.56357e-06,  1.44782e-09,
00:23:17,   1397284,  4.39789e-11, -6.61414e-12,  8.97616e-11,  1.55884e-06,  1.50832e-09,
00:23:41,   1421033,  3.81101e-11,  7.05614e-12,  1.00888e-10,  1.57699e-06,  1.51688e-09,
00:24:04,   1444807,  4.39298e-11,  1.32599e-11,  7.05907e-11,  1.54305e-06,  1.53014e-09,
00:24:30,   1470683,  5.19840e-11,  4.64099e-12,  8.13581e-11,  1.58172e-06,  1.46743e-09,
00:24:55,   1495479,  3.27079e-11,  8.65050e-12,  1.12093e-10,  1.52411e-06,  1.53815e-09,
00:25:21,   1521356,  2.19771e-11,  3.47285e-13,  6.90233e-11,  1.58409e-06,  1.51329e-09,
00:25:47,   1547231,  3.60720e-11, -8.39793e-12,  6.93570e-11,  1.55726e-06,  1.51440e-09,
00:26:11,   1571006,  5.45869e-11, -4.46735e-12,  1.05565e-10,  1.55094e-06,  1.48981e-09,
00:26:34,   1594781,  4.28493e-11, -3.48864e-12,  7.75802e-11,  1.55726e-06,  1.43290e-09,
