0000000380,scans,0000000106,DataLength
"header",0000000025,"lines"
"Date",02/05/2023,"Time",13:31:39
"ID","HAL V RC RGA 201 #12461","Version",3
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 2","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 3","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 4","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 5","RGA","SEM","mass",44.00,44.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 6","RGA","Faraday","none",0.40,0.40,0.01,3000.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",250,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",927,"V"
"resolution",0,"%"
"Data",6
"Time","ms","Scan 1 : He 4.00","Scan 2 : water 18.00","Scan 3 : Nitrogen 28.00","Scan 4 : Oxygen 32.00","Scan 5 : CO2 44.00","Scan 6 : none 0.40",
00:00:01,      1002,  1.07184e-06,  6.62990e-08,  2.20999e-08,  0.00000e+00,  4.08850e-09, -8.83999e-10,
00:00:11,     11277,  1.00554e-06,  6.18790e-08,  3.31499e-09, -1.10499e-09,  4.46420e-09, -4.08849e-10,
00:00:21,     21635,  9.51404e-07,  5.29294e-08,  7.07199e-09, -5.08299e-09,  4.65647e-09,  2.32049e-11,
00:00:31,     31990,  8.92839e-07,  4.78796e-08,  5.21007e-09,  1.11052e-09,  4.66421e-09,  4.64099e-12,
00:01:04,     64354,  7.35156e-07,  3.57633e-08,  4.17192e-09,  8.00295e-10,  3.61335e-09,  5.73494e-12,
00:01:44,    104632,  6.01893e-07,  2.65807e-08,  3.38544e-09,  1.84866e-10,  2.66084e-09,  3.58019e-12,
00:02:30,    150971,  4.30286e-07,  2.13154e-08,  1.16071e-08,  4.37557e-10,  8.68420e-09,  2.50834e-13,
00:03:17,    197309,  3.68406e-07,  1.80501e-08,  1.11676e-07,  2.67012e-10,  8.49410e-09, -1.02101e-12,
00:04:01,    241128,  3.35477e-07,  1.56467e-08,  1.42986e-07,  7.39576e-10,  5.50622e-09,  2.75586e-12,
00:04:47,    287833,  2.94261e-07,  1.33925e-08,  1.31384e-07,  7.95555e-10,  4.40453e-09, -1.53373e-12,
00:05:34,    334515,  2.72603e-07,  1.16301e-08,  1.26853e-07,  7.77587e-10,  3.72496e-09,  1.42876e-12,
00:06:16,    376194,  2.51497e-07,  1.03206e-08,  1.19892e-07,  7.60128e-10,  3.27853e-09, -1.03869e-13,
00:07:02,    422846,  2.37574e-07,  9.19350e-09,  1.16024e-07,  7.79709e-10,  2.97245e-09,  7.62330e-12,
00:07:44,    464256,  2.65973e-07,  8.03880e-09,  2.08844e-08,  1.60291e-10,  1.32710e-09, -1.08289e-12,
00:08:30,    510908,  2.53818e-07,  6.48275e-09,  8.18250e-09,  8.86870e-11,  9.30411e-10,  3.38571e-12,
00:09:10,    550171,  2.23983e-07,  6.02887e-09,  6.03025e-09,  8.42670e-11,  8.07756e-10, -5.45317e-12,
00:09:56,    596929,  2.12601e-07,  5.38852e-09,  5.06089e-09,  7.86310e-11,  6.89631e-10,  1.09505e-12,
00:10:45,    645816,  2.06413e-07,  4.98106e-09,  4.42717e-09,  7.15370e-11,  6.03220e-10, -8.26539e-13,
00:11:34,    694703,  1.94700e-07,  4.54265e-09,  3.97827e-09,  6.22990e-11,  5.82004e-10, -2.91167e-12,
00:12:22,    742483,  1.92822e-07,  4.16142e-09,  3.69760e-09,  5.76588e-11,  5.53053e-10, -2.15474e-12,
00:13:11,    791368,  1.85529e-07,  3.85036e-09,  3.46804e-09,  4.84652e-11,  4.94156e-10, -1.97684e-12,
00:14:00,    840228,  1.83982e-07,  3.56113e-09,  1.43456e-09,  4.01114e-11,  4.38022e-10,  1.19671e-12,
00:14:49,    889088,  1.71164e-07,  3.28654e-09,  1.30168e-09,  2.34259e-11,  4.12055e-10, -1.87739e-12,
00:15:37,    937975,  1.70722e-07,  3.08819e-09,  1.16687e-09,  3.49179e-11,  3.90618e-10, -1.30831e-12,
00:16:21,    981807,  1.62545e-07,  2.90172e-09,  1.14560e-09,  4.02219e-11,  3.50727e-10,  2.20115e-12,
00:17:10,   1030695,  1.65639e-07,  2.72078e-09,  1.18511e-09,  3.48737e-11,  3.55921e-10, -1.12046e-12,
00:17:54,   1074554,  1.67407e-07,  2.58818e-09,  1.12267e-09,  4.82000e-11,  3.40340e-10,  3.77136e-12,
00:18:38,   1118415,  1.56136e-07,  2.41193e-09,  1.07019e-09,  3.04979e-11,  3.20450e-10, -5.69074e-13,
00:19:25,   1165200,  1.58346e-07,  2.25502e-09,  1.11853e-09,  4.53491e-11,  2.75918e-10, -2.86857e-12,
00:20:11,   1211986,  1.50169e-07,  2.20640e-09,  1.10306e-09,  2.52823e-11,  2.70614e-10,  9.28190e-13,
00:20:55,   1255871,  1.55583e-07,  2.11054e-09,  1.05140e-09,  3.81224e-11,  2.71498e-10,  1.98457e-12,
00:21:37,   1297655,  1.51495e-07,  2.00612e-09,  1.09229e-09,  3.61997e-11,  2.58680e-10, -4.67414e-13,
00:22:21,   1341542,  1.52268e-07,  2.00446e-09,  1.01411e-09,  3.95368e-11,  2.41111e-10,  4.34927e-12,
00:23:10,   1390403,  1.51053e-07,  1.83402e-09,  9.94220e-10,  2.36690e-11,  2.25751e-10,  2.15253e-12,
00:23:59,   1439291,  1.48401e-07,  1.74700e-09,  1.01438e-09,  4.01114e-11,  2.10392e-10, -1.55252e-12,
00:24:48,   1488178,  1.44644e-07,  1.68954e-09,  9.88970e-10,  3.57135e-11,  2.17906e-10, -2.02435e-12,
00:25:37,   1537065,  1.46854e-07,  1.67324e-09,  1.06190e-09,  3.47411e-11,  2.15475e-10, -2.72603e-12,
00:26:25,   1585927,  1.49285e-07,  1.62794e-09,  9.88420e-10,  3.60892e-11,  1.94811e-10, -1.41660e-12,
00:27:13,   1633708,  1.46964e-07,  1.48014e-09,  1.03952e-09,  1.06079e-11,  2.02878e-10,  2.80669e-13,
00:28:02,   1682568,  1.45196e-07,  1.46136e-09,  1.07046e-09,  3.96915e-11,  1.92380e-10,  6.83994e-13,
00:28:46,   1726400,  1.54036e-07,  1.42572e-09,  1.09505e-09,  3.24648e-11,  1.89728e-10,  1.07847e-12,
00:29:34,   1774153,  1.49285e-07,  1.37738e-09,  9.89250e-10,  4.16805e-11,  1.81551e-10, -2.07960e-12,
00:30:23,   1823038,  1.51937e-07,  1.35721e-09,  9.85100e-10,  4.01114e-11,  1.54258e-10,  7.87864e-13,
00:31:06,   1866897,  1.48732e-07,  1.31743e-09,  9.61620e-10,  4.59900e-11,  1.52490e-10, -1.46964e-13,
00:31:55,   1915760,  1.49727e-07,  1.31798e-09,  9.77640e-10,  3.08736e-11,  1.47407e-10,  1.75694e-12,
00:32:37,   1957519,  1.45859e-07,  1.25168e-09,  1.03234e-09,  4.05755e-11,  1.52269e-10,  5.96699e-13,
00:33:21,   2001379,  1.47296e-07,  1.28318e-09,  9.66870e-10,  4.11722e-11,  1.39561e-10, -1.35362e-12,
00:34:10,   2050240,  1.45417e-07,  1.23980e-09,  1.06024e-09,  4.47966e-11,  1.32931e-10,  2.42436e-12,
00:34:54,   2094125,  1.48843e-07,  1.22019e-09,  9.98360e-10,  4.55259e-11,  1.29285e-10, -3.58461e-12,
00:35:43,   2143014,  1.52931e-07,  1.15886e-09,  9.71570e-10,  2.51055e-11,  1.42876e-10, -2.42989e-12,
00:36:31,   2191900,  1.50390e-07,  1.10831e-09,  9.68250e-10,  3.66859e-11,  1.29837e-10,  1.04090e-12,
00:37:20,   2240788,  1.51716e-07,  1.11190e-09,  9.31790e-10,  3.56914e-11,  1.27406e-10,  2.47077e-12,
00:38:09,   2289673,  1.51716e-07,  1.07350e-09,  9.81510e-10,  5.48079e-11,  1.21771e-10,  1.18455e-12,
00:38:58,   2338508,  1.51274e-07,  1.06549e-09,  1.02654e-09,  4.65867e-11,  1.16577e-10, -2.25751e-12,
00:39:47,   2387343,  1.50942e-07,  9.82620e-10,  9.94220e-10,  3.24648e-11,  1.18566e-10, -9.93390e-13,
00:40:35,   2435125,  1.49948e-07,  1.05389e-09,  1.02737e-09,  4.70508e-11,  1.14699e-10, -4.17910e-12,
00:41:21,   2481911,  1.52047e-07,  1.02157e-09,  1.01024e-09,  4.58353e-11,  9.82340e-11, -5.10509e-13,
00:42:05,   2525799,  1.49064e-07,  1.01521e-09,  1.02764e-09,  3.45864e-11,  1.16246e-10, -9.08309e-13,
00:42:47,   2567558,  1.53594e-07,  9.36760e-10,  1.02599e-09,  4.19899e-11,  1.08732e-10, -1.31052e-12,
00:43:31,   2611444,  1.53263e-07,  9.45870e-10,  9.88140e-10,  4.02882e-11,  1.25086e-10, -7.30404e-13,
00:44:13,   2653203,  1.53373e-07,  9.62450e-10,  9.92280e-10,  3.36803e-11,  1.04533e-10, -9.63550e-13,
00:44:54,   2694935,  1.55252e-07,  9.10519e-10,  1.02737e-09,  2.88846e-11,  1.01991e-10,  1.86523e-12,
00:45:41,   2741670,  1.58346e-07,  8.92010e-10,  9.93390e-10,  3.90948e-11,  1.14036e-10,  3.73600e-12,
00:46:23,   2783430,  1.56025e-07,  2.73111e-10,  9.75710e-10,  5.01006e-11,  1.02544e-10,  2.80890e-12,
00:47:09,   2829296,  3.45864e-08,  1.16396e-09,  1.15991e-08,  1.13790e-09,  9.20576e-10, -3.04869e-12,
00:48:01,   2881218,  1.11615e-07,  1.52904e-09,  1.30224e-08,  1.62655e-09,  2.21110e-10,  3.33267e-12,
00:48:40,   2920583,  1.61440e-07,  1.16908e-09,  2.76802e-09,  2.77078e-10,  1.38014e-10, -2.68625e-12,
00:49:18,   2958890,  1.54810e-07,  1.04892e-09,  1.42296e-09,  7.30180e-11,  1.03649e-10, -4.07192e-12,
00:50:02,   3002775,  1.58346e-07,  8.67424e-10,  1.22765e-09,  4.17689e-11,  1.04533e-10,  2.33596e-12,
00:50:49,   3049563,  1.58898e-07,  2.76780e-10,  1.18732e-09,  6.21000e-11,  8.91730e-11, -6.30070e-12,
00:51:41,   3101508,  1.59561e-07,  2.59254e-10,  1.09615e-09,  5.35261e-11,  9.66870e-11,  1.01107e-12,
00:52:33,   3153428,  1.65307e-07,  2.61266e-10,  1.16328e-09,  4.33822e-11,  9.49190e-11, -1.14477e-12,
00:53:25,   3205375,  1.52710e-07,  2.46923e-10,  1.14919e-09,  4.21667e-11,  8.75160e-11, -2.48293e-12,
00:54:09,   3249140,  1.62987e-07,  2.55144e-10,  1.17295e-09,  4.26971e-11,  7.95600e-11, -1.65528e-12,
00:54:56,   3296060,  1.56467e-07,  2.66437e-10,  1.03842e-09,  5.25979e-11,  7.40350e-11, -2.29176e-12,
00:55:48,   3348006,  1.61329e-07,  2.25729e-10,  1.14118e-09,  2.23209e-11,  7.10510e-11,  6.40899e-12,
00:56:39,   3399951,  1.62103e-07,  2.42481e-10,  1.08372e-09,  2.93708e-11,  7.19350e-11,  2.31165e-12,
00:57:31,   3451871,  1.60335e-07,  2.21994e-10,  1.12019e-09,  3.66196e-11,  8.01120e-11, -4.54486e-12,
00:58:22,   3502710,  1.59672e-07,  2.21132e-10,  1.07102e-09,  3.97136e-11,  7.70180e-11, -4.13269e-13,
00:59:09,   3549604,  1.64755e-07,  2.21928e-10,  1.05223e-09,  3.88959e-11,  8.30960e-11,  4.20452e-12,
00:59:59,   3599450,  1.60003e-07,  2.26237e-10,  1.01659e-09,  4.09070e-11,  7.17140e-11, -4.19899e-12,
01:00:51,   3651371,  1.62324e-07,  2.28977e-10,  1.05582e-09,  4.83326e-11,  6.83990e-11,  7.18240e-14,
01:01:41,   3701163,  1.61440e-07,  2.10215e-10,  1.05140e-09,  5.49626e-11,  7.25980e-11, -1.12488e-12,
01:02:33,   3753083,  1.60777e-07,  2.33618e-10,  1.05278e-09,  4.68077e-11,  7.14930e-11, -3.70727e-12,
01:03:25,   3805028,  1.64976e-07,  2.03032e-10,  1.09975e-09,  4.57911e-11,  7.09410e-11, -4.12164e-13,
01:04:16,   3856975,  1.63539e-07,  2.08226e-10,  1.01577e-09,  5.37250e-11,  7.45870e-11, -3.05532e-12,
01:05:08,   3908895,  1.63429e-07,  2.13286e-10,  1.02571e-09,  3.98462e-11,  6.66310e-11, -4.70729e-13,
01:06:00,   3960815,  1.62987e-07,  1.99949e-10,  1.02820e-09,  5.12940e-11,  6.63000e-11,  3.05753e-12,
