,He pressure [torr],H2O pressure [torr],N2 pressure [torr],O2 pressure [torr],CO2 pressure [torr],None,Unnamed: 8,Time [s],Interpolated CO2 flow [%],Interpolated N2 flow [%],Interpolated He flow [%],Interpolated Outlet flow [%],Breakthrough time [s],Corrected CO2 pressure [torr],Corrected N2 pressure [torr],Corrected He pressure [torr],Corrected H2O pressure [torr],Corrected O2 pressure [torr],True MS CO2 mole fraction [-],True MS N2 mole fraction [-],True MS He mole fraction [-],True MS H2O mole fraction [-],True MS O2 mole fraction [-],Fake Outlet average molecular weight [kg/mol],True CO2 mass flow [kg/s],True N2 mass flow [kg/s],True He mass flow [kg/s],True H2O mass flow [kg/s],True O2 mass flow [kg/s],True CO2 molar flow [mol/s],True N2 molar flow [mol/s],True He molar flow [mol/s],True H2O molar flow [mol/s],True O2 molar flow [mol/s],He bypass flow [mol/s],He molar flow [mol/s],CO2 molar flow [mol/s],N2 molar flow [mol/s],H2O molar flow [mol/s],O2 molar flow [mol/s],Total molar flow [mol/s],CO2 mole fraction [-],N2 mole fraction [-],He mole fraction [-],H2O mole fraction [-],O2 mole fraction [-],CO2 concentration [mol/m3],N2 concentration [mol/m3],He concentration [mol/m3],H2O concentration [mol/m3],O2 concentration [mol/m3],CO2 inlet flow [mol/s],N2 inlet flow [mol/s],He inlet flow [mol/s],H2O inlet flow [mol/s],O2 inlet flow [mol/s],CO2 inlet mole fraction [-],N2 inlet mole fraction [-],He inlet mole fraction [-],H2O inlet mole fraction [-],O2 inlet mole fraction [-],CO2 inlet concentration [mol/m3],N2 inlet concentration [mol/m3],He inlet concentration [mol/m3],H2O inlet concentration [mol/m3],O2 inlet concentration [mol/m3],Normalised CO2 mole fraction [-],Normalised N2 mole fraction [-],Normalised He mole fraction [-],Normalised H2O mole fraction [-],Normalised O2 mole fraction [-],Normalised CO2 concentration [mol/m3],Normalised N2 concentration [mol/m3],Normalised He concentration [mol/m3],Normalised H2O concentration [mol/m3],Normalised O2 concentration [mol/m3],Normalised CO2 molar flow [mol/s],Normalised N2 molar flow [mol/s],Normalised He molar flow [mol/s],Normalised H2O molar flow [mol/s],Normalised O2 molar flow [mol/s],Smoothed CO2 inlet flow [mol/s],Smoothed N2 inlet flow [mol/s],Smoothed He inlet flow [mol/s],Smoothed H2O inlet flow [mol/s],Smoothed CO2 inlet mole fraction [-],Smoothed N2 inlet mole fraction [-],Smoothed He inlet mole fraction [-],Smoothed H2O inlet mole fraction [-],Smoothed CO2 inlet concentration [mol/m3],Smoothed N2 inlet concentration [mol/m3],Smoothed He inlet concentration [mol/m3],Smoothed H2O inlet concentration [mol/m3],Smoothed CO2 molar flow [mol/s],Smoothed N2 molar flow [mol/s],Smoothed He molar flow [mol/s],Smoothed H2O molar flow [mol/s],Smoothed CO2 mole fraction [-],Smoothed N2 mole fraction [-],Smoothed He mole fraction [-],Smoothed H2O mole fraction [-],Smoothed CO2 concentration [mol/m3],Smoothed N2 concentration [mol/m3],Smoothed He concentration [mol/m3],Smoothed H2O concentration [mol/m3],Smoothed Normalised CO2 molar flow [mol/s],Smoothed Normalised N2 molar flow [mol/s],Smoothed Normalised He molar flow [mol/s],Smoothed Normalised H2O molar flow [mol/s],Smoothed Normalised CO2 mole fraction [-],Smoothed Normalised N2 mole fraction [-],Smoothed Normalised He mole fraction [-],Smoothed Normalised H2O mole fraction [-],Smoothed Normalised CO2 concentration [mol/m3],Smoothed Normalised N2 concentration [mol/m3],Smoothed Normalised He concentration [mol/m3],Smoothed Normalised H2O concentration [mol/m3],Q(t),yinQin CO2,y(t) CO2,y(t)Q(t)/yinQin CO2,yinQin N2,y(t) N2,y(t)Q(t)/yinQin N2
0,1.94148e-07,1.1735e-10,1.20555e-09,6.2012e-11,5.4366e-11,5.18465e-12,,7148.0,5.015625,9.903125,30.0,8.540625,0.0,2.798907430471092e-10,1.1582424552926296e-09,4.716577459725949e-07,8.073529411764704e-11,0.0,0.0005915143193700273,0.0024478015605274056,0.9967900601043554,0.00017062401574710528,0.0,0.004084796546447919,9.069571737133961e-10,2.388378098096206e-09,1.38941675335123e-07,1.0702408056739943e-10,0.0,2.061266303894082e-08,8.529921778915022e-08,3.4735418833780746e-05,5.945782253744413e-09,0.0,3.167849966848955e-05,3.4735418833780746e-05,2.061266303894082e-08,8.529921778915022e-08,5.945782253744413e-09,0.0,3.484727649686259e-05,0.0005915143193700272,0.002447801560527405,0.9967900601043552,0.00017062401574710525,0.0,0.023020748418048412,0.09526434450855162,38.793402708682535,0.006640401444168779,0.0,7.459505863838868e-08,7.3642286861387455e-06,0,0.0,0,0.010027802942738433,0.9899721970572615,0.0,0.0,0.0,0.39026532608103814,38.52806287697227,0.0,0.0,0.0,0.05898742952446711,0.002472596268666544,0,0,0,0.05898742952446711,0.0024725962686665435,0,0,0,0.2763274594214606,0.011582912674847253,0,0,0,7.459505863838868e-08,7.3642286861387455e-06,0,0.0,0.010027802942738433,0.9899721970572615,0.0,0.0,0.39026532608103814,38.52806287697227,0.0,0.0,2.061266303894082e-08,8.529921778915022e-08,3.4735418833780746e-05,5.945782253744413e-09,0.0005915143193700272,0.002447801560527405,0.9967900601043552,0.00017062401574710525,0.023020748418048412,0.09526434450855162,38.793402708682535,0.006640401444168779,0.2763274594214606,0.011582912674847253,0,0,0.05898742952446711,0.002472596268666544,0,0,0.05898742952446711,0.0024725962686665435,0,0,46.82761500057641,0.10015971089013564,0.0005854387136821364,0.15857527785594142,9.897706505971996,0.0025069700922621995,0.006944325865687062
1,1.88181e-07,1.30434e-10,1.21936e-09,5.925e-11,5.1493e-11,1.06079e-13,,7161.261,5.005829326923046,9.903125,14.2,1.403125,13.261000000000422,2.6499731245045885e-10,1.1737503063806478e-09,4.5603513694991096e-07,9.35627450980392e-11,0.0,0.0005791437175134103,0.0025651962640069245,0.9966511814314488,0.0002044785870308331,0.0,0.004087593159255134,1.4578651126600123e-10,4.109196857254147e-10,2.280770013574785e-08,2.105710476073565e-11,0.0,3.313329801500028e-09,1.4675703061621953e-08,5.7019250339369625e-06,1.169839153374203e-09,0.0,1.4994489843085052e-05,5.7019250339369625e-06,3.313329801500028e-09,1.4675703061621953e-08,1.169839153374203e-09,0.0,5.721083905953459e-06,0.0005791437175134103,0.002565196264006924,0.9966511814314488,0.0002044785870308331,0.0,0.0225393052749233,0.09983315010786765,38.787997782909954,0.007957964760562564,0.0,7.44493721471582e-08,7.3642286861387455e-06,0,0.0,0,0.010008414339726593,0.9899915856602735,0.0,0.0,0.0,0.38951075406562463,38.528817448987695,0.0,0.0,0.0,0.05786568160099087,0.002591129360252158,0,0,0,0.05786568160099088,0.0025911293602521577,0,0,0,0.04450446935873187,0.001992836410586375,0,0,0,7.439655624241922e-08,7.363066769337525e-06,0,0.0,0.010002946749987232,0.9899970532500129,0.0,0.0,0.3892979646136686,38.529030238439645,0.0,0.0,6.011457715434868e-09,3.3260871113561156e-08,1.1520109906474951e-05,2.308600677297479e-09,0.0005398142619864002,0.0027722301295310652,0.996486667262722,0.00020128834576052588,0.021008668616675732,0.107890562035483,38.7815951664974,0.007833805903757821,0.08082869040925986,0.00451765626826805,0,0,0.05396339092404184,0.002800239634149478,0,0,0.05396339092404185,0.002800239634149478,0,0,7.687706762709474,0.10012421794537296,0.0005657691654253742,0.18126295233930884,9.896925683432869,0.0026105034421502844,0.008118391759870728
2,1.94148e-07,1.30655e-10,1.45279e-09,6.0089e-11,4.60785e-11,1.48732e-12,,7213.209,4.998726851851858,9.9,14.19687,4.275,65.20899999999983,2.3692892401831016e-10,1.4103801026619126e-09,4.716577459725949e-07,9.377941176470587e-11,0.0,0.0005004848064593902,0.0029792639950552064,0.9963221530939952,0.00019809810449021863,0.0,0.004094295101602564,3.8322176769226713e-10,1.45168909663401e-09,6.935317911605176e-08,6.205251962197359e-11,0.0,8.709585629369708e-09,5.184603916550036e-08,1.733829477901294e-05,3.447362201220755e-09,0.0,1.4991184719619642e-05,1.733829477901294e-05,8.709585629369708e-09,5.184603916550036e-08,3.447362201220755e-09,0.0,1.740229776600903e-05,0.0005004848064593902,0.0029792639950552064,0.9963221530939951,0.00019809810449021863,0.0,0.019478031958428163,0.11594797396309833,38.77519255008483,0.007709647046953078,0.0,7.434374033768022e-08,7.361904852536304e-06,0,0.0,0,0.009997479160247872,0.9900025208397522,0.0,0.0,0.0,0.38908517516171254,38.5292430278916,0.0,0.0,0.0,0.05006110024709283,0.003009349908046798,0,0,0,0.05006110024709282,0.003009349908046798,0,0,0,0.11715291145978783,0.007042476125949726,0,0,0,7.437631419582684e-08,7.363647727738135e-06,0,0.0,0.009999471879201749,0.9900005281207983,0.0,0.0,0.3891627284519759,38.52916547460134,0.0,0.0,7.319390040827244e-09,3.922390850388397e-08,1.2746629308318157e-05,2.2878738512349172e-09,0.0005707243094723116,0.0028746285434833934,0.9963652283355553,0.00018941881148902377,0.022211635989504392,0.11187573711715183,38.776868966473295,0.007371863473362113,0.09847284375994315,0.0053268307600749815,0,0,0.05707690374669504,0.002903660097435184,0,0,0.057076903746695044,0.002903660097435184,0,0,23.384487660240698,0.10001256761968479,0.0005739201037026028,0.15451971819620725,9.896925683432869,0.0028457906601134274,0.00949269607607035
3,1.92601e-07,1.0714e-10,1.64009e-09,9.8256e-11,5.69075e-11,-6.54159e-13,,7260.157,4.993282710280385,9.903125,14.2,5.50625,112.15700000000015,2.9306570088260753e-10,1.5912805100993828e-09,4.676074399296768e-07,7.072549019607843e-11,0.0,0.0006241249964030354,0.00338885765086452,0.9958363973853283,0.00015061996740421018,0.0,0.004108406263020529,6.134178569613254e-10,2.1195492843501655e-09,8.897748954554303e-08,6.056018814546913e-11,0.0,1.3941314930939213e-08,7.569818872679162e-08,2.2244372386385758e-05,3.3644548969705075e-09,0.0,1.4994489843085052e-05,2.2244372386385758e-05,1.3941314930939213e-08,7.569818872679162e-08,3.3644548969705075e-09,0.0,2.2337376344940458e-05,0.0006241249964030355,0.00338885765086452,0.9958363973853283,0.00015061996740421018,0.0,0.024289901449742805,0.13188867428977366,38.756287749988424,0.005861877325370244,0.0,7.42627721513107e-08,7.3642286861387455e-06,0,0.0,0,0.009983579677105935,0.990016420322894,0.0,0.0,0.0,0.3885442305149418,38.529783972538375,0.0,0.0,0.0,0.06251515153770561,0.003423031761189621,0,0,0,0.06251515153770561,0.003423031761189621,0,0,0,0.187729524862521,0.010279174093177452,0,0,0,7.436603991700064e-08,7.362781770876844e-06,0,0.0,0.009999269517469012,0.990000730482531,0.0,0.0,0.38915485287164553,38.529173350181665,0.0,0.0,9.920971730378146e-09,1.2818995671329268e-07,1.786339495413563e-05,3.59368602751214e-09,0.0005550725084358826,0.005720978476903208,0.9935139489280309,0.00019847310745546066,0.02160249405979976,0.22265091800672315,38.665901938692656,0.007724241535431485,0.13344259597855326,0.017413587452851917,0,0,0.055514083131335476,0.0057787825964985854,0,0,0.05551408313133548,0.005778782596498586,0,0,30.017467437508984,0.09994980716654009,0.0005551874630283788,0.13701393648574836,9.895761815874543,0.005722385395709307,0.016158177796327847
4,1.86192e-07,1.4734e-10,6.42584e-09,2.07098e-10,4.5968e-11,2.03319e-12,,7310.971,5.00306603773589,9.898466981132055,14.201594528301866,6.948525943396164,162.97099999999955,2.363560997645928e-10,6.383495404626837e-09,4.5082760060901626e-07,1.1013725490196078e-10,2.1097999999999993e-11,0.0005165365133676942,0.013950595997686183,0.9852460638013515,0.0002406957708965807,4.610791669809132e-05,0.004360136526939275,6.036648886269599e-10,1.0375117085179191e-08,1.0467595046882745e-07,1.1507558145269568e-10,3.918931671455704e-11,1.3719656559703636e-08,3.7053989589925684e-07,2.616898761720686e-05,6.393087858483093e-09,1.2246661473299074e-09,1.4996173585227789e-05,2.616898761720686e-05,1.3719656559703636e-08,3.7053989589925684e-07,6.393087858483093e-09,1.2246661473299074e-09,2.6560864923671634e-05,0.0005165365133676943,0.013950595997686183,0.9852460638013515,0.00024069577089658067,4.610791669809132e-05,0.020102737556104762,0.5429338736661529,38.34412967178741,0.009367477008840054,0.0017944430348153604,7.44082750318534e-08,7.360764858693581e-06,0,0.0,0,0.010007604892795646,0.9899923951072043,0.0,0.0,0.0,0.3894792517443031,38.528848951309,0.0,0.0,0.0,0.05161439913955263,0.014091619356505766,0,0,0,0.05161439913955264,0.014091619356505767,0,0,0,0.18438347823317228,0.05033986318169411,0,0,0,7.434839214410794e-08,7.362200812476234e-06,0,0.0,0.009997701977168464,0.9900022980228316,0.0,0.0,0.3890938468237573,38.52923435622955,0.0,0.0,1.580031306389582e-08,3.593672822319223e-07,2.6680670441843944e-05,5.74066761984598e-09,0.0005701734261437069,0.010677570405239842,0.988501679427882,0.0002055009800277262,0.022190196531320164,0.4155531894423332,38.47083278924371,0.007997754586768152,0.21249910449932455,0.048815580266442594,0,0,0.05703291991518933,0.010785447850863286,0,0,0.057032919915189335,0.01078544785086329,0,0,35.68822458767033,0.09992608812086397,0.0005703174347064167,0.21110863334692237,9.894980993335416,0.010680900142255504,0.1011224531978107
5,2.0564e-07,1.56887e-10,1.15569e-08,2.54945e-10,6.3758e-11,-7.01232e-12,,7354.707,5.001082920792097,9.9,14.2,11.503370990099114,206.70700000000033,3.285782126481325e-10,1.1504042083758112e-08,5.017457337199862e-07,1.1949705882352938e-10,6.894499999999999e-11,0.0006395473883447079,0.02239156397735347,0.9766021034308534,0.00023259007731989533,0.00013419512612859933,0.004569993155604352,1.180550585965112e-09,2.630278014381193e-08,1.6388410793908087e-07,1.7563977940877217e-10,1.801548324182169e-10,2.683069513557073e-08,9.393850051361403e-07,4.097102698477022e-05,9.757765522709566e-09,5.629838513069278e-09,1.4994489843085052e-05,4.097102698477022e-05,2.683069513557073e-08,9.393850051361403e-07,9.757765522709566e-09,5.629838513069278e-09,4.195263028907771e-05,0.0006395473883447077,0.022391563977353462,0.9766021034308532,0.00023259007731989527,0.00013419512612859928,0.024890115161004926,0.8714422358503078,38.007721185114164,0.00905201696590923,0.005222649961922962,7.437878105558742e-08,7.361904852536304e-06,0,0.0,0,0.010002144178524401,0.9899978558214757,0.0,0.0,0.0,0.3892667298740717,38.52906147317924,0.0,0.0,0.0,0.0639410287364063,0.022617790377710965,0,0,0,0.0639410287364063,0.02261779037771097,0,0,0,0.360730503441817,0.12760080766494908,0,0,0,7.434610836190977e-08,7.361619854075623e-06,0,0.0,0.009998179137463144,0.990001820862537,0.0,0.0,0.3891124171047111,38.529215785948594,0.0,0.0,1.819204258576329e-08,1.801419474077633e-06,2.8150225031094233e-05,6.817626848000226e-09,0.0006022689217603534,0.05999757033452151,0.9391323973676096,0.0002226876154019293,0.023439299563568473,2.335005133664683,36.549462866872915,0.008666629702967594,0.2446778867351268,0.2447582948749814,0,0,0.060240277113869534,0.060603600241390686,0,0,0.06024027711386954,0.06060360024139068,0,0,56.36469716747816,0.0999230186607909,0.0006024301027707916,0.2347712269692218,9.894200170796289,0.06001411558961792,0.23451388713916427
6,1.83982e-07,1.86634e-10,1.11621e-07,1.36555e-10,6.7957e-11,7.9559e-14,,7406.628,4.998112623762396,9.896875,14.198543465346528,15.40625,258.6279999999997,3.503455342893907e-10,1.1156566060909101e-07,4.450414491191333e-07,1.4866078431372546e-10,0.0,0.0006288667889259763,0.20025926371218186,0.7988450248529051,0.000266844645987031,0.0,0.008835112825693223,8.041661635409417e-10,1.629615345833536e-07,9.286605254405638e-08,1.395935840490793e-10,0.0,1.8276503716839585e-08,5.820054806548343e-06,2.3216513136014094e-05,7.755199113837739e-09,0.0,1.4992951815333814e-05,2.3216513136014094e-05,1.8276503716839585e-08,5.820054806548343e-06,7.755199113837739e-09,0.0,2.9062599645393114e-05,0.0006288667889259763,0.20025926371218186,0.7988450248529051,0.00026684464598703103,0.0,0.024474444087421394,7.7937557508524975,31.089712860601644,0.010385147511750847,0.0,7.433460520888756e-08,7.359581018933862e-06,0,0.0,0,0.009999387801426592,0.9900006121985735,0.0,0.0,0.0,0.3891594562855278,38.52916874676779,0.0,0.0,0.0,0.06289052904181365,0.2022819594701564,0,0,0,0.06289052904181365,0.20228195947015637,0,0,0,0.24586804040299684,0.790813334560105,0,0,0,7.440594164765485e-08,7.360849077583727e-06,0,0.0,0.010007180511213062,0.989992819488787,0.0,0.0,0.38946273552258875,38.528865467530714,0.0,0.0,1.8032459406692768e-08,3.6330527183970804e-06,2.6688504496957406e-05,7.427192083106076e-09,0.0005858644283248287,0.13684342546936484,0.8622796969995958,0.0002459373420079078,0.02280086410403989,5.3257173448468045,33.55848425065964,0.009571470193650327,0.24238512396420014,0.49358385433669294,0,0,0.05854687210876165,0.1382272428870798,0,0,0.05854687210876165,0.1382272428870798,0,0,39.050433543329625,0.100003436084914,0.0005860361283751571,0.2409749345031211,9.89316422802161,0.13687877520815772,0.40249938837242794
7,1.82987e-07,1.947e-10,1.99783e-07,1.12953e-10,6.9615e-11,1.19781e-12,,7451.053,5.009375,9.898978960396054,14.2,16.4125,303.0529999999999,3.589404900600994e-10,1.9972668078413316e-07,4.424363718646385e-07,1.565686274509804e-10,0.0,0.0005585070226609366,0.31077227819023784,0.6884255959132731,0.00024361887382812425,0.0,0.01148428562170574,5.853312174449136e-10,2.0726247264812824e-07,6.558996099935378e-08,1.0444888507309035e-10,0.0,1.3302982214657127e-08,7.40223116600458e-06,1.6397490249838446e-05,5.802715837393908e-09,0.0,1.4994489843085052e-05,1.6397490249838446e-05,1.3302982214657127e-08,7.40223116600458e-06,5.802715837393908e-09,0.0,2.3818827113895076e-05,0.0005585070226609366,0.3107722781902378,0.6884255959132731,0.0002436188738281242,0.0,0.021736159611628465,12.094737519018262,26.79237328513532,0.009481239288101172,0.0,7.4502105294291e-08,7.361145580171159e-06,0,0.0,0,0.010019585172105607,0.9899804148278945,0.0,0.0,0.0,0.3899455041864524,38.528382698866864,0.0,0.0,0.0,0.05574153151727407,0.3139176023439461,0,0,0,0.05574153151727407,0.3139176023439461,0,0,0,0.1785584737788144,1.0055814119400237,0,0,0,7.438591032727571e-08,7.360702506946812e-06,0,0.0,0.010004710403310382,0.9899952895966897,0.0,0.0,0.38936660305253523,38.52896160000077,0.0,0.0,1.7976676705282968e-08,5.440384750418407e-06,2.4204507602995797e-05,7.252995805949469e-09,0.0005981910925547641,0.21301208015169826,0.7861107120616062,0.00024546791260870613,0.02328059726818935,8.290074046558889,30.594114695949532,0.009553200786224035,0.24168432275954677,0.7391403162715511,0,0,0.05979257130896406,0.2151650659168883,0,0,0.05979257130896406,0.2151650659168883,0,0,32.00529703201083,0.09997651349213615,0.0005983595372968508,0.2362888091837306,9.892967233440316,0.21306545724051967,0.6262499018989326
8,1.80998e-07,1.91496e-10,2.04756e-07,9.525e-11,7.0499e-11,2.27408e-12,,7498.342,4.997678571428576,9.897678571428576,14.199195142857137,16.70544771428571,350.34199999999964,3.63523084089838e-10,2.0469915836841377e-07,4.372288355237438e-07,1.5342745098039214e-10,0.0,0.0005658431702874356,0.3186252147270198,0.6805701240493929,0.00023881805329977414,0.0,0.011672982333006171,5.938471331788349e-10,2.127963046715677e-07,6.49320001654417e-08,1.0253344949741998e-10,0.0,1.3496525754064432e-08,7.599868023984561e-06,1.6233000041360424e-05,5.696302749856666e-09,0.0,1.4993639954193942e-05,1.6233000041360424e-05,1.3496525754064432e-08,7.599868023984561e-06,5.696302749856666e-09,0.0,2.3852060893848908e-05,0.0005658431702874356,0.3186252147270198,0.6805701240493929,0.00023881805329977412,0.0,0.022021670212702606,12.400360680514494,26.48665145294698,0.009294399379134888,0.0,7.432814975033684e-08,7.360178576145922e-06,0,0.0,0,0.00999772446118492,0.990002275538815,0.0,0.0,0.0,0.38909472186408905,38.52923348118922,0.0,0.0,0.0,0.05659719594036226,0.3218429114757398,0,0,0,0.05659719594036226,0.3218429114757398,0,0,0,0.18158027341455876,1.0325657109211268,0,0,0,7.437480172336481e-08,7.360210075540579e-06,0,0.0,0.01000389362848787,0.9899961063715121,0.0,0.0,0.38933481554192473,38.52899338751138,0.0,0.0,1.4562059399550694e-08,7.124864298405542e-06,1.7987350501010295e-05,6.189457274714902e-09,0.0005766773956033007,0.2880636279815433,0.711114559244372,0.00024513537848150303,0.02244332014937127,11.210954817147952,27.67538980664207,0.009540259113922828,0.19580230122283956,0.9680203748026126,0,0,0.05764618313367215,0.2909746055412288,0,0,0.05764618313367215,0.2909746055412288,0,0,32.05010708064457,0.09996158325220375,0.0005768191822665372,0.19602837543329432,9.89230539338334,0.2881336063920813,0.7999503406929005
9,1.84534e-07,1.90656e-10,2.12933e-07,1.16754e-10,7.083e-11,-1.61108e-12,,7545.603,4.998095238095275,9.897351190476181,14.19687,16.80313,397.60300000000007,3.65238964886041e-10,2.1287596275800298e-07,4.4648667790755656e-07,1.5260392156862745e-10,0.0,0.0005534926005388543,0.3225977552967337,0.6766174921619164,0.00023125994081108273,0.0,0.011767723470314517,5.795779401562318e-10,2.1496448951837105e-07,6.440959430731283e-08,9.906500515988335e-11,0.0,1.3172225912641632e-08,7.67730319708468e-06,1.610239857682821e-05,5.503611397771298e-09,0.0,1.4991184719619642e-05,1.610239857682821e-05,1.3172225912641632e-08,7.67730319708468e-06,5.503611397771298e-09,0.0,2.37983776112233e-05,0.0005534926005388543,0.3225977552967337,0.6766174921619164,0.00023125994081108276,0.0,0.021541006685732614,12.554965318206563,26.332821627884314,0.009000250276704402,0.0,7.433434663994384e-08,7.3599351269113695e-06,0,0.0,0,0.00999887707923435,0.9900011229207657,0.0,0.0,0.0,0.38913957983162956,38.529188623221685,0.0,0.0,0.0,0.05535547603523867,0.3258559488750728,0,0,0,0.05535547603523867,0.3258559488750728,0,0,0,0.1772024172949882,1.0431210417891952,0,0,0,7.443991508074009e-08,7.360791033941189e-06,0,0.0,0.010011780811439556,0.9899882191885604,0.0,0.0,0.389641771516636,38.52868643153667,0.0,0.0,1.3276680625907755e-08,7.611879266917117e-06,1.6111179467914324e-05,5.753465500831933e-09,0.0005592000316336904,0.32064153047411925,0.6785568935237833,0.00024237597046373056,0.021763130362277755,12.478832318521093,26.408299886602904,0.009432867567041023,0.17835626537301816,1.0341113592159634,0,0,0.055854387021859055,0.3238842176995201,0,0,0.055854387021859055,0.3238842176995201,0,0,31.978214395637018,0.1000490972239157,0.0005593356101133031,0.18193326279560174,9.893086215922468,0.32071929178701974,0.9236805298681883
