0000000879,scans,0000000092,DataLength
"header",0000000024,"lines"
"Date",24/08/2022,"Time",10:14:32
"ID","HAL V RC RGA 201 #12461","Version",3
"Scans",5
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,0.900000,1.000000,
"Scan 2","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.400000,1.000000,
"Scan 3","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 4","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,0.140000,1.000000,
"Scan 5","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",0,"( 1 = on, 0 = off )"
"F2",1,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",250,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",0,"V"
"resolution",0,"%"
"Data",5
"Time","ms","Water","Carbon dioxide","Oxygen","Helium","Nitrogen",
00:00:01,      1002,  0.00000e+00,  0.00000e+00,  2.56976e-08,  0.00000e+00,  7.73490e-08,
00:00:01,      1495, -2.45554e-09,  2.36785e-09,  2.82673e-08, -1.57856e-08,  8.17690e-08,
00:00:01,      1987, -1.84166e-09,  9.47136e-10,  2.56976e-08,  1.65749e-08,  8.75150e-08,
00:00:02,      2504,  1.63293e-09,  1.42071e-10,  2.53250e-08,  3.94642e-11,  9.45820e-08,
00:00:09,      9260,  1.71029e-09,  7.67579e-11,  2.64942e-08,  6.51157e-11,  9.92670e-08,
00:00:20,     20575,  1.79378e-09,  9.78707e-12,  2.75607e-08, -3.22028e-11,  1.03367e-07,
00:00:38,     38012,  1.85240e-09,  8.52421e-12,  2.83766e-08, -1.31021e-11,  1.10389e-07,
00:00:55,     55283,  1.87758e-09,  7.94014e-12,  2.90897e-08, -2.36785e-12,  1.16687e-07,
00:01:15,     75580,  1.97211e-09,  4.59364e-12,  2.93659e-08,  6.40031e-09,  3.48074e-08,
00:01:35,     95876,  4.42306e-10,  7.20300e-11,  1.50330e-09,  7.73257e-09,  1.72932e-09,
00:01:56,    116314,  1.80728e-11,  1.32915e-11,  1.71210e-10,  5.22644e-08,  4.45867e-10,
00:02:18,    138791,  7.29299e-12,  5.57229e-12,  5.47359e-12,  5.16863e-08,  1.40997e-11,
00:02:47,    167390,  6.70366e-12,  8.80836e-12, -3.05801e-12,  5.16508e-08,  4.68519e-12,
00:03:15,    195986,  1.22777e-12,  6.28264e-12,  7.70919e-14,  5.15265e-08,  4.61889e-12,
00:03:44,    224582, -5.05843e-12,  2.14685e-12,  2.59545e-12,  5.12996e-08,  2.89509e-12,
00:04:13,    253179,  7.36666e-12,  5.05142e-13,  1.97871e-12,  5.10647e-08,  3.64649e-12,
00:04:37,    277576,  3.87977e-12, -8.20850e-13,  3.44348e-12,  5.03129e-08,  1.79009e-12,
00:05:05,    305093,  3.38866e-12,  3.15714e-13, -3.08371e-13,  5.06800e-08, -4.75149e-12,
00:05:31,    331590,  6.04066e-12, -1.53121e-12,  5.57638e-12,  5.05853e-08,  3.60229e-12,
00:06:00,    360186,  3.83066e-12,  3.05295e-11,  5.10560e-10,  5.39179e-08,  3.35941e-10,
00:06:24,    384582,  7.36656e-14,  2.23683e-11,  2.19971e-11,  5.14554e-08,  7.87640e-11,
00:06:46,    406876,  6.04066e-12,  1.13972e-11,  1.58553e-11,  5.12936e-08,  5.28852e-11,
00:07:13,    433371,  2.35732e-12,  4.60942e-12,  1.23605e-11,  5.20139e-08,  4.26971e-11,
00:07:41,    461968,  4.05166e-12,  7.79807e-12,  1.79369e-11,  5.27025e-08,  4.09070e-11,
00:08:06,    486363,  6.92466e-12,  7.07193e-12,  1.12298e-11,  5.34243e-08,  2.82658e-11,
00:08:33,    513881,  3.31499e-12,  4.27792e-12,  2.87813e-12,  5.37479e-08,  2.81111e-11,
00:08:58,    538276,  3.90432e-12,  5.50914e-12,  2.38987e-12,  5.36693e-08,  2.46414e-11,
00:09:26,    566873, -3.75699e-12,  4.12006e-12,  1.36710e-11,  5.28051e-08,  2.84868e-11,
00:09:51,    591269,  4.78832e-12,  1.02922e-11,  1.01505e-11,  5.31682e-08,  1.98899e-11,
00:10:17,    617766, -1.47332e-13,  2.60464e-12,  7.24673e-12,  5.34064e-08,  2.57464e-11,
00:10:40,    640061,  6.87554e-12,  7.92436e-12,  9.14826e-12,  5.37557e-08,  2.14590e-11,
00:11:02,    662356,  8.17689e-12,  2.88878e-12,  1.59324e-12,  5.39000e-08,  1.64202e-11,
00:11:30,    690954, -3.56054e-12,  2.25735e-12,  5.98755e-12,  5.40029e-08,  1.97131e-11,
00:11:55,    715350,  8.79078e-12,  3.66228e-12,  2.59545e-12,  5.39514e-08,  2.00667e-11,
00:12:21,    741846,  1.05588e-12,  2.46256e-12,  7.58080e-12,  5.44936e-08,  1.18897e-11,
00:12:46,    766243, -3.92888e-13,  1.13656e-12, -2.31278e-13,  5.44107e-08,  1.61771e-11,
00:13:10,    790638,  1.05588e-12,  4.04114e-12,  5.06243e-12,  5.35329e-08,  1.23538e-11,
00:13:37,    817134, -1.74343e-12,  7.11929e-12, -1.87592e-12,  5.41171e-08,  1.54478e-11,
00:14:05,    845731,  1.21058e-11, -1.18392e-12,  3.70045e-12,  5.44564e-08,  6.76259e-12,
00:14:32,    872226,  2.82388e-12,  5.17771e-12,  1.06901e-11,  5.46064e-08,  1.21549e-11,
00:15:00,    900822,  2.70110e-13,  3.86749e-12,  7.09255e-12,  5.44800e-08,  1.23317e-11,
00:15:23,    923118,  5.03388e-12,  6.10900e-12, -1.00991e-11,  5.41486e-08,  2.31828e-11,
00:15:49,    949614,  1.66977e-12, -4.67256e-12, -4.88255e-13,  5.49064e-08,  2.26524e-11,
00:16:16,    976109,  9.08544e-12,  2.16264e-12, -5.52499e-12,  5.44229e-08,  1.32599e-11,
00:16:44,   1004706,  8.34888e-13,  2.16264e-12,  7.22103e-12,  5.41350e-08,  5.08299e-12,
00:17:07,   1027002, -8.22600e-12,  2.43099e-12, -2.92952e-12,  5.47150e-08,  9.98910e-12,
00:17:31,   1051397,  9.33110e-13,  4.59364e-12,  4.36859e-12,  5.50264e-08,  1.30610e-11,
00:17:59,   1079994,  7.14566e-12,  2.93614e-12,  7.14394e-12,  5.46121e-08,  1.41881e-11,
00:18:24,   1104390,  6.13888e-13,  5.79329e-12, -8.91698e-12,  5.54921e-08,  2.36469e-12,
00:18:50,   1130885, -1.79254e-12,  6.15642e-13,  1.14867e-11,  5.55714e-08,  1.40555e-11,
00:19:19,   1159483,  6.87554e-13,  7.56129e-12,  1.79883e-13,  5.43379e-08,  9.85650e-12,
00:19:43,   1183877,  5.25488e-12, -5.36714e-13,  1.79883e-13,  5.50421e-08,  3.82329e-12,
00:20:12,   1212474, -3.78154e-12,  6.56679e-12, -8.48022e-13,  5.55671e-08,  5.14929e-12,
00:20:36,   1236872,  2.77477e-12, -6.15642e-13,  2.85243e-12,  5.47264e-08,  1.09836e-11,
